mob	1	토끼	22	29	2	100	5	10	0	2000	5	0	0	-
mob	2	다람쥐	26	9	0	100	5	10	0	2000	10	0	0	-
mob	3	소	28	5	0	1000	50	100	0	2000	100	0	0	-
mob	4	암사슴	89	5	0	500	50	100	0	2000	50	0	0	-
mob	5	숫사슴	90	5	0	500	50	100	0	2000	50	0	0	-
mob	6	꽃사슴	1602	0	0	2000	50	100	0	2000	200	0	0	-
mob	7	반지황담비	633	0	0	10000	5	10	0	2000	10	0	0	-
mob	8	모래청뱀	27	2	4	22500	112	220	0	2000	450000	0	0	-
mob	9	모래백사	34	29	4	25000	120	250	0	2000	500000	0	0	-
mob	10	사막살모사	618	22	4	90000	450	900	0	2000	900000	0	0	-
mob	11	유령	168	29	4	24000	1200	2400	0	1000	480000	0	0	-
mob	12	초급유령	168	2	4	24000	1200	2400	0	1000	480000	0	0	-
mob	13	중급유령	168	29	4	26000	1300	2600	0	1000	520000	0	0	-
mob	14	고급유령	168	2	4	28000	1400	2800	0	1000	560000	0	0	-
mob	15	유령전사	168	7	4	30000	1500	3000	0	1000	600000	0	0	-
mob	16	유령도적	168	22	4	30000	1500	3000	0	1000	600000	0	0	-
mob	17	유령마법사	168	23	4	30000	1500	3000	0	1000	600000	0	0	-
mob	18	불연	168	24	4	100000	5000	10000	0	1000	1000000	0	0	-
mob	19	흑해골	31	10	4	27000	1350	2700	0	1000	540000	0	0	-
mob	20	자해골	31	7	4	29000	1450	2900	0	1000	580000	0	0	-
mob	21	지해골	31	12	4	31000	1550	3100	0	1000	620000	0	0	-
mob	22	주해골	31	-1	4	33000	1650	3300	0	1000	660000	0	0	-
mob	23	사해골	32	-1	4	35000	1750	3500	0	1000	700000	0	0	-
mob	24	원각	32	10	4	110000	5500	11000	0	1000	1100000	0	0	-
mob	25	눈먼쥐왕	129	0	4	13500	675	1350	0	1000	1	0	0	-
mob	26	눈먼토끼왕	132	0	4	16000	800	1600	0	1000	1	0	0	-
mob	27	눈먼닭왕	138	0	4	18500	925	1850	0	1000	1	0	0	-
mob	28	눈먼뱀왕	134	0	4	20000	1000	2000	0	1000	1	0	0	-
mob	29	눈먼돼지왕	140	0	4	21500	1075	2150	0	1000	1	0	0	-
