0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
0,3
19,3
0,4
19,4
0,5
19,5
0,6
19,6
0,7
19,7
0,8
19,8
0,9
19,9
0,10
19,10
0,11
19,11
0,12
19,12
0,13
19,13
0,14
19,14
0,15
19,15
0,16
19,16
0,17
19,17
0,18
19,18
0,19
19,19
0,20
19,20
0,21
19,21
0,22
19,22
0,23
19,23
0,24
19,24
0,25
1,25
2,25
3,25
4,25
5,25
6,25
7,25
12,25
13,25
14,25
15,25
16,25
17,25
18,25
19,25
