0	13	1	무영보법	0	1	1	0	3	0	0	24	0	0	0
1	13	1	무영보법2	무영보법	1	1	1	1	1	0	50	0	0	0
2	13	1	무영보법3	무영보법2	1	1	1	1	2	0	90	0	0	0
3	13	1	무영보법4	무영보법3	1	1	1	1	3	0	0	1	10000	0
4	13	1	무영보법5	무영보법4	1	1	1	1	4	0	0	2	200000	20000
5	13	1	무영보법6	무영보법5	1	1	1	1	5	0	0	3	700000	70000
6	13	1	유영보법	무영보법4	1	2	1	3	6	5	99	0	0	0
7	13	1	유영보법2	유영보법	1	2	1	1	1	5	0	4	0	0
8	13	1	유영보법3	유영보법2	1	2	1	1	2	5	0	4	0	0
9	13	1	유영보법4	유영보법3	1	2	1	1	3	5	0	4	10000	0
10	13	1	유영보법5	유영보법4	1	2	1	1	4	5	0	4	200000	30000
11	13	1	유영보법6	유영보법5	1	2	1	1	5	5	0	4	2000000	200000
