선행의서제87권	26	1	7	1	0	0	0	0	2000	0	0	0	47	0	0	0	0	0	0	0	0	11	0	0	0	0	2
사식천부연곤	26	0	1000000	0	0	0	0	0	200000	0	0	0	250	250	0	0	0	0	0	4	0	45	0	0	50m110	50m110	2
영웅의칼'염	26	0	2000000	1	0	0	0	0	300000	0	5	4	4000	0	20	0	0	0	0	1	0	95	0	0	340m460	340m460	2
투구3	26	1	500000	1	0	0	0	0	250	-10	0	0	100	100	0	0	3	0	0	0	0	10	10	5	0	0	2
불의연갑	26	1	20000	1	0	0	0	0	40000	-33	0	0	800	0	0	0	0	0	0	1	0	60	0	0	0	0	1
용겸제사봉	26	50	10000	1	0	0	0	0	25000	0	3	1	0	0	0	0	0	0	0	4	0	99	0	0	60m75	60m75	2
마하데비옷'1성	26	0	3000000	1	0	0	0	0	300000	-37	0	0	0	30000	0	0	11	0	0	0	0	99	300	3	0	0	1
러블리귀족헤어(여)	26	0	0	1	1	1	0	0	29292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
스쿨룩(남)	26	0	0	1	1	1	0	0	29292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
바람홍옥반지	26	1	1000000	1	0	0	0	0	300000	-12	0	0	1500	3000	0	0	25	0	0	3	0	99	2	1	0	0	2
삼묘의도복	26	1	100000	1	0	0	0	0	200000	-40	2	0	400	0	0	0	0	0	0	2	0	75	0	0	0	0	1
마력의반지8	26	1	5000	1	0	0	0	0	5000	0	0	0	0	800	0	0	0	0	0	3	0	86	0	0	0	0	2
환웅의모자'4성	26	0	700000	1	0	0	0	0	150000	-9	2	0	0	400	1	5	6	0	0	0	0	99	180	2	0	0	2
환웅의도포'2성	26	0	700000	1	0	0	0	0	150000	-34	1	0	1000	1000	0	1	1	0	0	0	0	80	60	1	0	0	0
복주머니	26	0	0	1	1	1	0	0	29292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
뱃사람목걸이	26	0	0	1	1	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
육식천부연검	26	0	1000000	0	0	0	0	0	200000	0	1	2	600	400	3	0	0	0	0	1	0	75	0	0	180m240	220m320	2
수영쪼리(여)	26	0	0	1	1	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
귀문진산장'태	26	0	12000000	1	0	0	0	0	300000	0	0	0	0	0	0	0	0	0	0	4	2	99	0	0	130m200	130m200	2
환웅천검'5각	26	0	10000	1	0	0	0	0	30000	0	0	0	4000	0	3	0	0	0	0	0	0	99	20	1	650m950	730m1000	2
방울막대기	26	1	100	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	20m25	15m20	2
지력의투구7	26	1	10000	1	0	0	0	0	5000	-5	0	0	0	0	0	0	7	0	0	0	0	0	20	0	0	0	2
보라방패	26	1	2500	1	0	0	0	0	10000	-3	0	0	0	0	0	0	0	0	0	1	0	36	0	0	0	0	2
청옥노리개'영식	26	1	10000	0	0	0	0	0	40000	-8	0	0	0	200	0	0	0	0	0	0	0	66	500	6	0	0	2
중국황제헤어	26	0	0	1	1	1	0	0	29292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
귀검의옷	26	1	1500	1	0	0	0	0	500000	-42	1	1	0	0	0	0	0	0	0	1	0	99	1	0	0	0	2
초록색도포532	26	1	10000	1	0	0	0	0	30000	-21	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0
구리도포596	26	1	10000	1	0	0	0	0	30000	-25	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	1
성불의횃불	26	0	500	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	10m20	7m10	2
환웅의깍지'4성	26	0	700000	1	0	0	0	0	150000	-7	1	2	120	40	1	2	0	0	0	0	0	99	15	1	0	0	2
별풍선	26	0	20000	1	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1m2	1m2	2
고구려왕실머리장식(여)	26	0	0	1	1	1	0	0	29292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
내강의복	26	5	50000	1	0	0	0	0	200000	-29	0	0	0	500	0	0	0	0	0	0	0	90	0	0	0	0	2
큐트정장헤어(남)	26	0	0	1	1	1	0	0	29292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
파라오부츠(남)	26	0	0	1	1	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
옷52	26	1	10	1	0	0	0	0	3000	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
현월창	26	66	400000	0	0	0	0	0	40000	0	2	10	1000	0	6	0	0	0	0	1	0	66	0	0	240m310	300m350	2
팬더열쇠고리	26	0	50000	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	2
뇌진도	26	10	750	1	0	0	0	0	10000	0	1	0	0	0	0	0	0	0	0	0	0	20	0	0	62m86	68m86	2
자호박별도	26	4	15000	1	0	0	0	0	2000000	0	6	1	4000	500	1	0	0	0	0	2	0	99	0	0	290m320	290m320	2
용랑제사봉	26	50	10000	1	0	0	0	0	25000	0	3	1	0	0	0	0	0	0	0	3	0	99	0	0	60m75	60m75	2
파천영곤	26	0	50000	1	0	0	0	0	100000	0	0	0	100	200	0	0	0	0	0	4	0	55	0	0	63m130	69m130	2
어린백호의정령	26	0	9000000	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1m2	1m2	2
바람태사검	26	0	20000000	1	0	0	0	0	300000	0	5	10	0	0	9	0	0	0	0	1	0	99	0	0	1000m1800	700m2000	2
금강깍지	26	1	30000	1	0	0	0	0	6000	-5	1	1	400	100	0	3	0	0	0	5	0	75	1	0	0	0	2
황호박장갑	26	1	10000	1	0	0	0	0	80000	-7	5	4	400	0	0	0	0	0	0	1	0	75	2	1	0	0	2
보라장삼	26	1	88	1	0	0	0	0	7000	-9	0	0	0	0	0	0	0	0	0	4	0	16	0	0	0	0	0
연등	26	1	1000	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
환웅의치마'4성	26	0	700000	1	0	0	0	0	150000	-36	2	0	4000	4000	0	2	5	0	0	0	0	99	180	2	0	0	1
