아기주작	1	100,32,1,83,2,40,80,81,31,82,30,91,90
반달가슴곰	1	100,32,1,83,2,40,80,81,31,82,30,91,90
백구	1	100,32,1,83,2,40,80,81,31,82,30,91,90
흑곰	1	100,32,1,83,2,40,80,81,31,82,30,91,90
어린현무	1	100,32,1,83,2,40,80,81,31,82,30,91,90
청사	1	100,32,1,83,2,40,80,81,31,82,30,91,90
어린주작	1	100,32,1,83,2,40,80,81,31,82,30,91,90
흑부엉	1	100,32,1,83,2,40,80,81,31,82,30,91,90
눈빛털대호	1	100,32,1,83,2,40,80,81,31,82,30,91,90
금사	1	100,32,1,83,2,40,80,81,31,82,30,91,90
바다거북	1	100,32,1,83,2,40,80,81,31,82,30,91,90
노랑거북	1	100,32,1,83,2,40,80,81,31,82,30,91,90
곰돌이	1	100,32,1,83,2,40,80,81,31,82,30,91,90
아기호랑이	1	100,32,1,83,2,40,80,81,31,82,30,91,90
흰갈기호랑이	1	100,32,1,83,2,40,80,81,31,82,30,91,90
흑관매	1	100,32,1,83,2,40,80,81,31,82,30,91,90
아기새	1	100,32,1,83,2,40,80,81,31,82,30,91,90
호돌이	1	100,32,1,83,2,40,80,81,31,82,30,91,90
아기돼지	1	32,40,80,31,83,82,91,90
통통한실뱀	1	100,32,1,83,2,40,80,81,31,82,30,91,90
거북	1	100,32,1,83,2,40,80,81,31,82,30,91,90
풀빛뱀	1	100,32,1,83,2,40,80,81,31,82,30,91,90
아기곰	1	100,32,1,83,2,40,80,81,31,82,30,91,90
아기거북	1	100,32,1,83,2,40,80,81,31,82,30,91,90
백호	1	100,32,1,83,2,40,80,81,31,82,30,92,91,90
유체	1	32,1,83,2,40,80,81,31,82,30,91,90
대호	1	100,32,1,83,2,40,80,81,31,82,30,91,90
누렁이	1	100,32,1,83,2,40,80,81,31,82,30,91,90
눈빛털진돗개	1	100,32,1,83,2,40,80,81,31,82,30,91,90
강아지	1	100,32,1,83,2,40,80,81,31,82,30,91,90
아기백호	1	100,32,1,83,2,40,80,81,31,82,30,91,90
독수리	1	100,32,1,83,2,40,80,81,31,82,30,91,90
흑갑바다거북	1	100,32,1,83,2,40,80,81,31,82,30,91,90
홍사	1	100,32,1,83,2,40,80,81,31,82,30,91,90
붉은풀뱀	1	100,32,1,83,2,40,80,81,31,82,30,91,90
이무기	1	100,32,1,83,2,40,80,81,31,82,30,91,90
장수거북	1	100,32,1,83,2,40,80,81,31,82,30,91,90
어린백호	1	100,32,1,83,2,40,80,81,31,82,30,91,90
갈관매	1	100,32,1,83,2,40,80,81,31,82,30,91,90
청룡	1	100,32,1,83,2,40,80,81,31,82,30,91,90
보라곰돌이	1	100,32,1,83,2,40,80,81,31,82,30,91,90
삼적안	1	100,32,1,83,2,40,80,81,31,82,30,91,90
현무	1	100,32,1,83,2,40,80,81,31,82,30,91,90
스노우맨	1	32,40,80,31,83,82,91,90
백곰	1	100,32,1,83,2,40,80,81,31,82,30,91,90
보라부엉	1	100,32,1,83,2,40,80,81,31,82,30,91,90
지룡	1	100,32,1,83,2,40,80,81,31,82,30,91,90
아기현무	1	100,32,1,83,2,40,80,81,31,82,30,91,90
샴고양이	1	32,40,80,31,83,82,91,90
주작	1	100,32,1,83,2,40,80,81,31,82,30,91,90
진돗개	1	100,32,1,83,2,40,80,81,31,82,30,91,90
백두산호돌이	1	100,32,1,83,2,40,80,81,31,82,30,91,90
