청색시약	7	1	50	1	0	0	0	0
널뛰기21	7	1	100	1	0	0	0	0
밀전병	7	1	100	1	0	0	0	0
선후의두루마리19	7	1	1	0	0	0	0	0
거해지옥톱	7	0	10000	1	0	0	0	0
주작미우정	7	0	1	1	0	0	0	0
스페이드Q	7	1	20000	1	0	0	0	0
파란선물상자	7	0	10000	1	0	0	0	0
청룡문주령	7	0	1	0	0	0	0	0
건독	7	1	1000	1	0	0	0	0
빙고 클2	7	1	1000	1	0	0	0	0
씰1	7	1	1000	1	0	0	0	0
북방비약	7	0	1	1	0	0	0	0
제기차기2	7	1	100	1	0	0	0	0
휴대용재봉도구세트	7	0	1	1	1	1	0	0
십만전교환권	7	0	1000	0	0	0	0	0
미완웅안목각1	7	0	1	1	0	0	0	0
금의가면	7	1	1000	1	0	0	0	0
백부장의혼'송	7	0	0	0	0	0	0	0
농장열쇠	7	0	1	0	0	0	0	0
세계후비서'보라	7	0	1	1	1	1	0	0
사과	7	1	10	1	0	0	0	0
숲노루변신술서	7	0	0	0	0	0	0	0
다이아몬드5	7	1	1000	1	0	0	0	0
중급양모실	7	1	200	1	0	0	0	0
쌀떡	7	0	10	1	0	0	0	0
체회복제1	7	1	40	1	0	0	2	240
진청약염색시약	7	1	1000	1	0	0	0	0
최고급아교	7	1	35000	1	0	0	0	0
종이	7	0	100	1	0	0	0	0
백현목	7	1	1000	1	0	0	0	0
번호표16	7	1	100	1	0	0	0	0
연날리기30	7	1	100	1	0	0	0	0
널뛰기58	7	1	100	1	0	0	0	0
제기차기39	7	1	100	1	0	0	0	0
연소의두루마리8	7	1	1	0	0	0	0	0
염색시약05	7	1	500	1	0	0	0	0
환수추가잠재력의비약	7	0	1	1	1	1	0	0
마로의두루마리4	7	1	1	0	0	0	0	0
올빼미의깃털	7	1	100	1	0	0	0	0
산장뇌삼잎	7	1	200	1	0	0	0	0
수정해골	7	1	100	0	0	0	0	0
백세주*	7	1	10000	1	0	0	0	0
하트10	7	1	5000	1	0	0	0	0
빙고 다8	7	1	1000	1	0	0	0	0
좌황활력환	7	1	100	0	0	0	0	0
팔년숙성쌀막걸리	7	1	99000	1	0	0	0	0
처연의두루마리16	7	1	1	0	0	0	0	0
체회복제90	7	1	925	1	1	1	2	240
목공'대박(1)	7	1	10000	0	0	0	0	0
노란색가루	7	1	100	1	0	0	0	0
귓말OX주최토큰	7	1	1	1	0	0	0	0
수리검	7	1	1000	1	0	0	0	0
I787	7	1	300	1	0	0	0	0
해골대장방열쇠	7	1	1	1	0	0	0	0
닌텐도DS교환권	7	0	10000	0	0	0	0	0
투명항아리	7	1	100	0	0	0	0	0
녹용가루	7	1	500	1	0	0	0	0
상급비단	7	1	500	1	0	0	0	0
동천인패	7	1	100	1	0	0	0	0
만월의거울'치	7	0	0	0	0	0	0	0
신비염색약(태극:1일)	7	0	1	1	1	1	0	0
떡갈통나무	7	1	50	1	0	0	0	0
선장의일기6	7	1	10	1	0	0	0	0
표신궁고문서6	7	1	10	0	0	0	0	0
녹색구슬조각	7	1	600	1	0	0	0	0
연청호박보석	7	1	4995	1	0	0	0	0
노란장미	7	1	7	1	0	0	0	0
제기차기76	7	1	100	1	0	0	0	0
연날리기67	7	1	100	1	0	0	0	0
널뛰기95	7	1	100	1	0	0	0	0
보라반짝이강염색시약	7	1	9000	1	0	0	0	0
세시배	7	1	10	1	0	0	0	0
I822	7	1	300	1	0	0	0	0
I857	7	1	300	1	0	0	0	0
I892	7	1	300	1	0	0	0	0
I927	7	1	300	1	0	0	0	0
I962	7	1	300	1	0	0	0	0
