주작시독8	14	0	100	100	80	0	0	24900	0	0	0	0	0	103	1
달리기3	14	2000	100	100	1200	0	0	500	0	0	0	0	0	0	0
녹천편	14	0	100	100	0	0	0	30	0	0	0	0	0	0	1
구제의전음12	14	0	100	100	0	12	25	40000	0	0	0	0	0	152	0
청룡의기원	14	24	100	100	0	0	0	120000	0	0	0	0	0	312	0
강각사연타6	14	304	100	100	32	0	0	16500	0	0	0	0	0	18	0
석상청소1	14	0	100	100	0	0	0	30	0	0	0	0	0	0	0
동해의빛	14	0	100	100	0	0	0	30	0	0	0	0	0	0	0
암흑지옥칠격	14	0	100	100	0	0	0	1	0	0	0	0	0	0	1
금강주작진	14	480	100	100	400	0	0	390	0	0	0	0	0	255	0
환웅제오격'륜	14	0	100	100	0	0	0	1	0	0	0	0	0	0	1
이펙트91	14	0	100	100	0	0	0	10	0	0	0	0	0	0	0
각성용천오격	14	0	100	100	0	0	0	1	0	0	0	0	0	0	1
현무불파갑12	14	240	100	100	312	0	0	41000	0	0	0	0	0	160	0
위협의물결9	14	40	500	100	80	0	0	86	0	0	0	0	0	8	1
청룡제마전음4	14	8	100	100	0	0	0	60000	0	0	0	0	0	161	3
응원의지저귐10	14	0	100	100	0	0	0	200	0	0	0	0	0	152	0
아기새시독7	14	0	100	100	80	0	0	72	0	0	0	0	0	103	1
무형술	14	9999999	100	100	8	0	0	1	0	0	0	0	0	0	1
무영보법6	14	0	100	100	4800	0	0	60	0	0	0	0	0	0	0
게시판쓰기제재	14	0	100	100	0	0	0	10	0	0	0	0	0	0	0
투혈오식	14	24	100	100	480	0	0	0	0	0	0	0	0	210	0
지룡의재앙2	14	480	100	100	200	7	0	39000	0	0	0	0	0	104	1
아기곰자기치유5	14	0	100	100	0	0	0	57	0	0	0	0	0	139	0
삼적안의기원'역6	14	72	100	100	0	5	0	9118	0	0	0	0	0	147	0
삼적안의기원8	14	0	100	100	0	0	0	5300	0	0	0	0	0	142	0
장미강염색	14	0	100	100	28800	0	0	0	0	0	0	0	0	0	0
실뱀독공5	14	80	100	100	80	0	0	48	0	0	0	0	0	313	1
소주작시독10	14	0	100	100	80	0	0	14500	0	0	0	0	0	103	1
현무각강격4	14	8	100	100	0	31	1	0	35600	0	0	0	0	318	1
소현무각강격6	14	8	100	100	0	31	1	0	20500	0	0	0	0	318	1
유현무각강격8	14	8	100	100	0	31	1	0	11000	0	0	0	0	318	1
수귀각강격10	14	8	100	100	0	31	1	0	4400	0	0	0	0	317	1
창귀각강격12	14	8	100	100	0	31	1	0	1390	0	0	0	0	317	1
창귀각강격2	14	8	100	100	0	31	1	0	290	0	0	0	0	317	1
평귀각강격4	14	8	100	100	0	31	1	0	132	0	0	0	0	317	1
진돗개할퀴기11	14	32	100	100	0	1	0	0	1280	0	0	0	0	306	1
진돗개할퀴기	14	32	100	100	0	1	0	0	180	0	0	0	0	306	1
백구할퀴기3	14	32	100	100	0	1	0	0	126	0	0	0	0	306	1
강아지할퀴기5	14	32	100	100	0	1	0	0	57	0	0	0	0	306	1
발석투하	14	0	100	100	0	12	4	0	0	0	0	0	0	0	1
환형교위	14	80	100	100	80	0	0	300	0	0	0	0	0	0	0
소귀각강격6	14	8	100	100	0	31	1	0	64	0	0	0	0	317	1
이펙트147	14	0	100	100	0	0	0	10	0	0	0	0	0	0	0
실뱀의기원6	14	0	100	100	0	0	0	73	0	0	0	0	0	312	0
소주작파공참7	14	24	100	100	0	1	0	45240	0	0	0	0	0	311	1
변색11	14	0	100	100	480	0	0	0	0	0	0	0	0	0	0
주작겁화9	14	2472	100	100	0	3	0	37200	0	0	0	0	0	0	1
투혈이식	14	40	100	100	480	0	0	0	0	0	0	0	0	200	0
소현무환체호위5	14	240	100	100	14400	0	0	11600	0	0	0	0	0	143	0
이펙트24	14	0	100	100	0	0	0	10	0	0	0	0	0	0	0
마려둔갑술	14	0	100	100	720	0	0	10000	0	0	0	0	0	323	0
제삼차폐	14	0	100	100	0	0	0	100	0	0	0	0	0	0	0
사랑의혼돈	14	0	100	100	60	0	0	0	0	0	0	0	0	0	1
맹호연타8	14	480	100	100	40	0	0	320	0	0	0	0	0	18	0
청룡의기원'역9	14	56	100	100	0	5	0	320000	0	0	0	0	0	312	0
수리의저주3	14	0	100	100	200	0	0	1600	0	0	0	0	0	104	1
파쇄의짖음10	14	0	100	100	200	0	0	165	0	0	0	0	0	104	1
신의활력	14	0	100	100	0	0	0	60	0	0	0	0	0	0	0
목물기7	14	8	100	100	0	31	1	0	3500	0	0	0	0	305	1
백호의기원	14	0	100	100	0	0	0	30	0	0	0	0	0	0	0
소주작겁화11	14	2712	100	100	0	3	0	23300	0	0	0	0	0	0	1
유주작시독12	14	0	100	100	80	0	0	7310	0	0	0	0	0	103	1
금강불체 	14	0	100	100	100	0	0	390	0	0	0	0	0	0	0
파력무참	14	960	100	100	240	0	0	390	0	0	0	0	0	173	0
소백호은신4	14	1	100	100	1240	0	0	13000	0	0	0	0	0	39	0
천열장	14	0	100	100	0	3	0	30	0	0	0	0	0	0	1
용천제삼격	14	0	100	100	0	0	0	1	0	0	0	0	0	0	1
뇌성빙목	14	0	100	100	0	0	0	30	0	0	0	0	0	0	1
망퉁진파	14	0	100	100	0	3	0	30	0	0	0	0	0	0	1
반고의기원	14	0	100	100	0	0	0	30	0	0	0	0	0	0	0
구제의전음	14	0	100	100	0	12	1	5000	0	0	0	0	0	152	0
지룡의기원2	14	24	100	100	0	0	0	56000	0	0	0	0	0	312	0
선풍각	14	40	100	100	0	0	0	30	0	0	0	0	0	223	1
혼마염	14	0	100	100	1200	0	0	6500	0	0	0	0	0	181	1
반짝이염색	14	0	100	100	2400	0	0	0	0	0	0	0	0	0	0
