0	16	강아지	강아지의기원	0	2	1	0	1	0	0	1	1	8	8	8	8	8
1	16	강아지	강아지의기원2	강아지의기원	2	1	1	1	1	0	9	1	10	10	10	10	10
2	16	강아지	강아지의기원3	강아지의기원2	2	1	1	1	2	0	17	1	12	12	12	12	12
3	16	강아지	강아지의기원4	강아지의기원3	2	1	1	1	3	0	25	1	14	14	14	14	14
4	16	강아지	강아지의기원5	강아지의기원4	2	1	1	1	4	0	33	1	16	16	16	16	16
5	16	강아지	강아지의기원6	강아지의기원5	2	1	1	1	5	0	41	1	18	18	18	18	18
6	16	강아지	강아지의기원7	강아지의기원6	2	1	1	1	6	0	49	1	20	20	20	20	20
7	16	강아지	강아지의기원8	강아지의기원7	2	1	1	1	7	0	57	1	22	22	22	22	22
8	16	강아지	강아지의기원9	강아지의기원8	2	1	1	1	8	0	65	1	24	24	24	24	24
9	16	강아지	강아지의기원10	강아지의기원9	2	1	1	1	9	0	73	1	26	26	26	26	26
10	16	강아지	강아지의기원11	강아지의기원10	2	1	1	1	10	0	81	1	28	28	28	28	28
11	16	강아지	강아지의기원12	강아지의기원11	2	1	1	1	11	0	89	1	30	30	30	30	30
12	16	백구	백구의기원	강아지의기원	2	2	1	1	12	9	1	1	10	10	20	10	24
13	16	백구	백구의기원2	백구의기원	2	2	1	1	1	9	9	1	12	12	24	12	29
14	16	백구	백구의기원3	백구의기원2	2	2	1	1	2	9	17	1	14	14	28	14	34
15	16	백구	백구의기원4	백구의기원3	2	2	1	1	3	9	25	1	17	17	32	17	40
16	16	백구	백구의기원5	백구의기원4	2	2	1	1	4	9	33	1	19	19	36	19	45
17	16	백구	백구의기원6	백구의기원5	2	2	1	1	5	9	41	1	21	21	41	21	50
18	16	백구	백구의기원7	백구의기원6	2	2	1	1	6	9	49	1	23	23	45	23	55
19	16	백구	백구의기원8	백구의기원7	2	2	1	1	7	9	57	1	25	25	49	25	60
20	16	백구	백구의기원9	백구의기원8	2	2	1	1	8	9	65	1	27	27	53	27	65
21	16	백구	백구의기원10	백구의기원9	2	2	1	1	9	9	73	1	30	30	57	30	71
22	16	백구	백구의기원11	백구의기원10	2	2	1	1	10	9	81	1	32	32	61	32	76
23	16	백구	백구의기원12	백구의기원11	2	2	1	1	11	9	89	1	34	34	65	34	81
24	16	진돗개	진돗개의기원	백구의기원	2	3	1	1	12	18	1	1	15	15	29	15	36
