이벤트환두대도	26	0	100000	0	0	0	0	0	500000	0	-5	1	200	200	0	0	0	0	0	0	0	0	0	0	100m130	120m130	2
PC방:녹호박반지	26	1	10000	0	0	1	0	0	70000	-6	0	2	200	250	0	0	1	0	0	3	0	10	2	1	0	0	2
천부연의장삼	26	1	500000	1	0	0	0	0	200000	-33	0	0	0	600	0	0	5	0	0	4	0	85	0	0	0	0	0
환웅의장삼'2성	26	0	700000	1	0	0	0	0	150000	-34	1	0	1000	1000	0	1	1	0	0	0	0	80	10	2	0	0	0
연두색짧은도포	26	1	5	1	0	0	0	0	3000	-4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
백운장	26	8	1000000	0	0	0	0	0	5000	0	0	0	0	3000	0	0	12	0	0	4	0	99	0	0	130m160	66m79	2
청일기창	26	10	50000	1	0	0	0	0	8000000	0	8	3	0	0	10	20	10	0	0	2	0	99	0	0	1300m1500	1300m1500	2
대모홍접선	26	4	100000	1	0	0	0	0	1000000	0	0	0	0	10000	0	10	10	0	0	4	0	99	0	0	800m1000	800m1000	2
사연갈투구	26	1	10000	1	0	0	0	0	50000	-7	2	4	350	350	6	6	6	0	0	0	0	56	2	1	0	0	2
산타클로스옷18	26	1	15000	1	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
옷18	26	1	10	1	0	0	0	0	3000	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
환타지전사헤어(남)	26	0	0	1	1	1	0	0	29292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
삼첨도	26	0	100000	1	0	0	0	0	700000	0	0	3	0	0	0	0	0	0	0	1	0	70	0	0	180m230	180m230	2
승리의증표	26	1	1000000	1	0	0	0	0	100000	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
황금곡괭이	26	1	100000	1	0	0	0	0	50000	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	500m600	450m500	2
